Location,,,Populaton,,SectoralPiN(Number),,,,,,,,ProtectionAoRs,,,,,5979741
Admin1,Admin2,Admin2P-Code,Population,AffectedPopulation1,CCCM,Education,Nutrition,FoodSecurity,Health,OverarchingProtection,Shelter,WASH,CP,GBV,MineAction,HLP,PreliminaryPiN,FinalPiN
Bari,Bandarbeyla,SO1602,51714,7743,-,1780,7264,7743,3470,3678,1142,5041,-,3678,774,-,7743,7743
Bari,Bossaso,SO1601,818158,144299,26891,36472,144299,129455,93158,44459,70992,84275,40484,44459,17229,21013,144299,144299
Bari,Caluula,SO1603,98518,17766,-,3578,17766,14775,5283,7111,5951,9619,2543,7111,-,739,17766,17766
Bari,Iskushuban,SO1604,62030,9611,-,1942,9611,9445,1800,3400,896,6149,1626,3230,-,472,9611,9611
Bari,Qandala,SO1605,66406,11846,-,2426,11846,10115,10115,3587,-,6585,-,3587,-,-,11846,11846
Bari,Qardho,SO1606,173726,27860,7218,7865,26639,27860,6137,9491,13361,18137,7545,9491,4280,-,27860,27860
Nugaal,Burtinle,SO1702,134274,24034,711,5680,24034,19900,1784,1280,3353,12955,-,-,1280,1173,24034,24034
Nugaal,Eyl,SO1703,175287,26005,2040,8243,25925,26005,2995,14481,14731,16929,5253,14481,-,-,26005,26005
Nugaal,Garoowe,SO1701,341903,56453,22509,15963,48863,56453,11255,25525,37635,36751,18294,25525,11826,12398,56453,56453
Awdal,Baki,SO1102,68172,10515,980,753,10515,6022,6022,1324,1681,3920,-,1324,-,-,10515,6022
Awdal,Borama,SO1101,445016,65931,1635,10035,65931,61721,45016,29591,17253,40181,-,29591,-,-,65931,65931
Awdal,Lughaye,SO1103,74177,10992,784,1501,10365,10992,5363,6199,4856,7156,-,6199,-,-,10992,10992
Awdal,Zeylac,SO1104,68529,10146,320,2249,9542,10146,8117,587,5349,6605,-,-,-,587,10146,10146
Sanaag,CeelAfweyn,SO1502,95853,14598,2949,1735,14598,13920,13920,3672,7279,9062,3468,3672,-,-,14598,14598
Sanaag,Ceerigaabo,SO1501,182874,28665,4929,4878,27964,28665,5974,7076,6749,18661,6712,7076,3405,2665,28665,28665
Sanaag,Laasqoray,SO1503,163307,24756,1052,5468,24227,24756,9074,5297,14950,16116,4593,5297,-,2791,24756,24756
